Probe Set ID,Arabidopsis Gene ID,Gene Description
266316_at,AT2G27080,harpin-induced protein-related / HIN1-related / harpin-responsive protein-related; similar to unknown protein [Arabidops
263370_at,AT2G20500,unknown protein
248344_at,AT5G52280,protein transport protein-related; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G63300.1); similar to puta
260276_at,AT1G80450,VQ motif-containing protein; similar to VQ motif-containing protein [Arabidopsis thaliana] (TAIR:AT5G08480.2); similar t
266054_at,AT2G40640,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G05230.1); similar to hypothetical protein [Oryza sativa (jap
259027_at,AT3G09280,unknown protein
249276_at,AT5G41880,"DNA primase small subunit family; similar to PREDICTED: similar to primase, polypeptide 1, 49kDa [Strongylocentrotus pur"
250575_at,AT5G08240,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G23160.1)
253722_at,AT4G29190,zinc finger (CCCH-type) family protein; similar to zinc finger (CCCH-type) family protein [Arabidopsis thaliana] (TAIR:A
251132_at,AT5G01200,myb family transcription factor; similar to myb family transcription factor [Arabidopsis thaliana] (TAIR:AT2G38090.1); s
263656_at,AT1G04240,"SHY2/IAA3 regulates multiple auxin responses in roots. It is induced rapidly by IAA, and has been shown to be phosphoryl"
264497_at,AT1G30840,"Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and pur"
249911_at,AT5G22740,"encodes a beta-mannan synthase based on in vitro enzyme assays from heterologously expressed protein, encodes a beta-man"
260156_at,AT1G52880,Transcription factor with a NAC domain.  Homologous to the petunia gene NAM which is required for the development of the
245411_at,AT4G17240,similar to hypothetical protein 31.t00013 [Brassica oleracea] (GB:ABD65111.1)
246510_at,AT5G15410,"'defense, no death' gene (DND1) encodes a mutated cyclic nucleotide-gated cation channel; Same as CNGC2 (article ID 229)"
265366_at,AT2G13290,glycosyl transferase family 17 protein; similar to glycosyl transferase family 17 protein [Arabidopsis thaliana] (TAIR:A
261538_at,AT1G01830,armadillo/beta-catenin repeat family protein; similar to binding [Arabidopsis thaliana] (TAIR:AT2G45720.2); similar to I
250279_at,AT5G13200,GRAM domain-containing protein / ABA-responsive protein-related; similar to GRAM domain-containing protein / ABA-respons
246440_at,AT5G17650,glycine/proline-rich protein; similar to proline-rich family protein [Arabidopsis thaliana] (TAIR:AT5G45350.2); similar
247560_at,AT5G61090,proline-rich family protein; similar to zinc ion binding [Arabidopsis thaliana] (TAIR:AT5G61120.1); similar to hypotheti
260549_at,AT2G43535,Encodes a defensin-like (DEFL) family protein.
261749_at,AT1G76180,Encodes a dehydrin protein whose expression is induced early on in response to dehydration stress. This gene's expressio
252361_at,AT3G48490,unknown protein
247208_at,AT5G64870,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G25250.1); similar to unknown protein [Arabidopsis thaliana]
251109_at,AT5G01600,Encodes  a ferretin protein that is targeted to the chloroplast. Member of a Ferritin gene family. Gene expression is in
260649_at,AT1G08080,carbonic anhydrase family protein; similar to carbonate dehydratase/ zinc ion binding [Arabidopsis thaliana] (TAIR:AT1G0
252403_at,AT3G48080,"lipase class 3 family protein / disease resistance protein-related; similar to EDS1 (ENHANCED DISEASE SUSCEPTIBILITY 1),"
247194_at,AT5G65480,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G38060.2); similar to unknown [Lycopersicon esculentum] (GB:A
262384_at,AT1G72950,"disease resistance protein (TIR-NBS class), putative; similar to disease resistance protein (TIR-NBS class), putative [A"
248008_at,AT5G56270,"WRKY transcription factor 2, WRKY transcription factor 2"
251232_at,AT3G62780,C2 domain-containing protein; similar to C2 domain-containing protein [Arabidopsis thaliana] (TAIR:AT3G16510.1); similar
264146_at,AT1G02205,Expression of the CER1 gene associated with production of stem epicuticular wax and pollen fertility. Biochemical studie
253836_at,AT4G27840,similar to vesicle-associated membrane protein-related [Arabidopsis thaliana] (TAIR:AT5G52990.1); similar to Os08g055860
248279_at,AT5G52910,homolog of Drosophila timeless
247035_at,AT5G67110,encodes a myc/bHLH transcription factor-like  protein.  Gene product is involved in fruit  dehiscence.  Mutant siliques
263877_at,AT2G21780,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G39360.1)
256650_at,AT3G13620,amino acid permease family protein; similar to amino acid permease family protein [Arabidopsis thaliana] (TAIR:AT3G19553
260135_at,AT1G66400,"calmodulin-related protein, putative; similar to TCH2 (TOUCH 2), calcium ion binding [Arabidopsis thaliana] (TAIR:AT5G37"
266695_at,AT2G19810,zinc finger (CCCH-type) family protein; similar to zinc finger (CCCH-type) family protein [Arabidopsis thaliana] (TAIR:A
262833_at,AT1G14750,mutant shows aberrant homolog pairing in meiosis
259927_at,AT1G75100,"Contains a J-domain at the C-terminus which is similar to the J-domain of auxilin, a clathrin-uncoating factor in cow, y"
254639_at,AT4G18750,pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabido
267602_at,AT2G32970,similar to Os02g0771800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001048261.1); similar to unknown protein [Oryza
262940_at,AT1G79520,cation efflux family protein; similar to cation efflux family protein [Arabidopsis thaliana] (TAIR:AT1G16310.1); similar
259021_at,AT3G07540,formin homology 2 domain-containing protein / FH2 domain-containing protein; similar to formin homology 2 domain-contain
256857_at,AT3G15170,Encodes a transcription factor involved in shoot apical meristem formation and auxin-mediated lateral root formation. Th
247622_at,AT5G60350,unknown protein
262275_at,AT1G68710,haloacid dehalogenase-like hydrolase family protein; Identical to Putative phospholipid-transporting ATPase 9 (EC 3.6.3.
263852_at,AT2G04450,ATNUDT6 (Arabidopsis thaliana Nudix hydrolase homolog 6); ADP-ribose diphosphatase/ NAD binding / hydrolase; Identical t
250616_at,AT5G07280,Leucine-rich repeat receptor protein kinase involved in tapetal cell fate specification.
257540_at,AT3G21520,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G21550.1); similar to Os07g0645300 [Oryza sativa (japonica cu
