Probe Set ID,Arabidopsis Gene ID,Gene Description
245038_at,AT2G26560,encodes a lipid acyl hydrolase with wide substrate  specificity that accumulates upon infection by fungal  and bacterial
245052_at,AT2G26440,pectinesterase family protein; similar to pectinesterase family protein [Arabidopsis thaliana] (TAIR:AT1G02810.1); simil
245068_at,AT2G23260,UGT84B1 (UDP-glucosyl transferase 84B1); UDP-glycosyltransferase/ abscisic acid glucosyltransferase/ indole-3-acetate be
245193_at,AT1G67810,"Fe-S metabolism associated domain-containing protein; similar to QS (QUINOLINATE SYNTHASE), quinolinate synthetase A [Ar"
245277_at,AT4G15550,UDP-glucose:indole-3-acetate beta-D-glucosyltransferase
245362_at,AT4G17460,"Encodes homeobox protein HAT1., Encodes homeobox protein HAT1."
245524_at,AT4G15920,nodulin MtN3 family protein; similar to nodulin MtN3 family protein [Arabidopsis thaliana] (TAIR:AT3G16690.1); similar t
245612_at,AT4G14440,enoyl-CoA hydratase/isomerase family protein; similar to enoyl-CoA hydratase/isomerase family protein [Arabidopsis thali
245690_at,AT5G04230,Member of Phenylalanine ammonialyase (PAL) gene family.Differs significantly from PAL1 and PAL2 and other sequenced plan
245746_at,AT1G51070,"basic helix-loop-helix (bHLH) family protein; similar to ILR3 (IAA-LEUCINE RESISTANT3), DNA binding / transcription fact"
245758_at,AT1G32240,"Encodes a member of the KANADI family of putative transcription factors. Together with KAN1, this gene appears to be inv"
245800_at,AT1G46264,"member of Heat Stress Transcription Factor (Hsf) family, member of Heat Stress Transcription Factor (Hsf) family"
245878_at,AT1G26190,phosphoribulokinase/uridine kinase family protein; similar to phosphoribulokinase/uridine kinase family protein [Arabido
245976_at,AT5G13080,"member of WRKY Transcription Factor; Group II-c, member of WRKY Transcription Factor; Group II-c"
245987_at,AT5G13180,ANAC083 (Arabidopsis NAC domain containing protein 83); transcription factor; similar to ANAC041 (Arabidopsis NAC domain
246098_at,AT5G20400,encodes a protein whose sequence is similar to flavanone 3 hydroxylase from Malus.
246125_at,AT5G19875,similar to oxidoreductase/ transition metal ion binding [Arabidopsis thaliana] (TAIR:AT2G31940.1); similar to conserved
246133_at,AT5G20960,Encodes aldehyde oxidase AA01.
246146_at,AT5G20050,protein kinase family protein; similar to lectin protein kinase family protein [Arabidopsis thaliana] (TAIR:AT4G32300.1)
246230_at,AT4G36710,scarecrow transcription factor family protein; similar to scarecrow-like transcription factor 6 (SCL6) [Arabidopsis thal
